ceremony_year,nomination_date,ceremony_date
2012,2012-01-24,2012-02-26
2013,2013-01-10,2013-02-24
2014,2014-01-16,2014-03-02
2015,2015-01-15,2015-02-22
2016,2016-01-14,2016-02-28
2017,2017-01-24,2017-02-26
2018,2018-01-23,2018-03-04
2019,2019-01-22,2019-02-24
2020,2020-01-13,2020-02-09
